"SECT","TYPE","INIT_STN","X_COORD","Y_COORD","AZIMUTH","LENGTH","WIDTH","LINEAR_FACTOR","RECOV","BARRIER","PANEL_CO","PANEL_LV","PANEL_WT","TEXT_CO","TEXT_LV","TEXT_WT","TEXT_FONT","KIND","PREVIOUS","LEAPFROG_OVERRIDE","ENTRIES","ENTRY_WIDTH","ENTRY_CENTERS","CROSSCUT_CENTERS","CROSSCUT_ANGLE","GOB_EYE_DEPTH","BELT_PILLARS_SPLIT"
"C-04L","LW",250.00,1754268.51,465385.71,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-03X",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-04S","CMS",0.00,1766379.84,461920.57,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-04L",0,4,16.00,90.00,90.00,60.00,0.00,0
"C-04G","CMG",0.00,1753804.01,464251.36,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-04S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-04X","CMX",0.00,1766661.05,461868.45,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-04G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-05L","LW",250.00,1754014.11,464013.09,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-04X",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-05S","CMS",0.00,1766125.44,460547.95,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-05L",0,4,16.00,90.00,90.00,60.00,0.00,0
"C-05G","CMG",0.00,1753549.61,462878.74,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-05S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-05X","CMX",0.00,1766406.65,460495.83,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-05G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-06L","LW",250.00,1753759.71,462640.46,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-05X",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-06S","CMS",0.00,1765871.04,459175.32,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-06L",0,4,16.00,90.00,90.00,60.00,0.00,0
"C-06G","CMG",0.00,1753295.21,461506.12,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-06S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-06X","CMX",0.00,1766152.25,459123.20,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-06G",0,4,16.00,90.00,180.00,60.00,0.00,1
"C-07L","LW",250.00,1753505.31,461267.84,100.50,12540.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"C-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"C-07S","CMS",0.00,1765616.64,457802.70,10.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"C-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"C-07G","CMG",0.00,1753040.81,460133.49,100.50,13076.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"C-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"C-07X","CMX",0.00,1765897.85,457750.58,100.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"C-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-07L","LW",250.00,1749172.31,444177.66,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-07S","CMS",0.00,1736608.68,447726.63,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-07G","CMG",0.00,1749636.81,445312.01,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-07S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-07X","CMX",0.00,1736327.47,447778.75,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-07G",0,4,16.00,90.00,180.00,60.00,0.00,1
"D-08L","LW",250.00,1749426.71,445550.29,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"D-07X",0,0,0.00,0.00,0.00,0.00,0.00,0
"D-08S","CMS",0.00,1736863.08,449099.25,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"D-08L",0,4,16.00,90.00,90.00,60.00,0.00,0
"D-08G","CMG",0.00,1749891.21,446684.63,280.50,13536.00,196.00,4.42,36.10,0.00,0,35,0,0,35,0,1,3,"D-08S",0,3,16.00,90.00,180.00,60.00,0.00,1
"D-08X","CMX",0.00,1736581.87,449151.37,280.50,0.00,286.00,5.89,33.00,0.00,0,35,0,0,35,0,1,4,"D-08G",0,4,16.00,90.00,180.00,60.00,0.00,1
"E-07L","LW",250.00,1751315.97,455743.81,280.50,13000.00,1200.00,1.00,99.00,250.00,0,35,0,0,35,0,1,2,"E-06X",0,0,0.00,0.00,0.00,0.00,0.00,0
"E-07S","CMS",0.00,1738752.34,459292.77,190.50,1200.00,286.00,6.84,38.30,0.00,0,35,0,0,35,0,1,5,"E-07L",0,4,16.00,90.00,90.00,60.00,0.00,0
